INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,DHFL,24-Sep-2015,0,XX,454.35,464.9,439,446.65,446.65,2299,5203.57,1932500,-67500,28-AUG-2015,
FUTSTK,DHFL,29-Oct-2015,0,XX,455,455.6,442.7,442.7,452.25,6,13.44,4500,2000,28-AUG-2015,
FUTSTK,DHFL,26-Nov-2015,0,XX,0,0,0,452.85,454.95,0,0,0,0,28-AUG-2015,
FUTSTK,DISHTV,24-Sep-2015,0,XX,108.8,109.4,103.05,104.4,104.4,4346,18393.59,22636000,1620000,28-AUG-2015,
FUTSTK,DISHTV,29-Oct-2015,0,XX,109.85,111.7,103.5,104.55,104.55,26,111.51,172000,60000,28-AUG-2015,
FUTSTK,DISHTV,26-Nov-2015,0,XX,0,0,0,109.15,105.9,0,0,0,0,28-AUG-2015,
FUTSTK,DIVISLAB,24-Sep-2015,0,XX,2271.95,2290,2218.05,2257.85,2257.85,1967,5559.94,570125,-8000,28-AUG-2015,
FUTSTK,DIVISLAB,29-Oct-2015,0,XX,2284.05,2292,2253,2274.35,2274.35,19,53.94,5500,1375,28-AUG-2015,
FUTSTK,DIVISLAB,26-Nov-2015,0,XX,0,0,0,2255.9,2291.5,0,0,0,0,28-AUG-2015,
FUTSTK,DLF,24-Sep-2015,0,XX,118.35,120.1,112.3,115.7,115.7,13795,32149.31,31254000,-1378000,28-AUG-2015,
FUTSTK,DLF,29-Oct-2015,0,XX,118,120.45,113,116.5,116.5,249,583.64,266000,120000,28-AUG-2015,
FUTSTK,DLF,26-Nov-2015,0,XX,120.45,120.45,114.85,114.85,117.45,2,11.76,10000,10000,28-AUG-2015,
FUTSTK,DRREDDY,24-Sep-2015,0,XX,4232.6,4251,4169,4191.5,4191.5,4427,23313.66,1255250,24125,28-AUG-2015,
FUTSTK,DRREDDY,29-Oct-2015,0,XX,4268.9,4268.9,4194.8,4214.9,4214.9,72,381.12,7875,2750,28-AUG-2015,
FUTSTK,DRREDDY,26-Nov-2015,0,XX,0,0,0,4211.2,4262.05,0,0,0,0,28-AUG-2015,
FUTSTK,EICHERMOT,24-Sep-2015,0,XX,19150,19270,18631,18964.4,18964.4,1154,27392.17,199125,6125,28-AUG-2015,
FUTSTK,EICHERMOT,29-Oct-2015,0,XX,19146.9,19146.9,19146.9,19146.9,19171.95,1,23.93,500,0,28-AUG-2015,
FUTSTK,EICHERMOT,26-Nov-2015,0,XX,0,0,0,19140.2,19287.15,0,0,0,0,28-AUG-2015,
FUTSTK,ENGINERSIN,24-Sep-2015,0,XX,190.25,190.95,184.35,186.3,186.3,538,1008.99,1671000,-67000,28-AUG-2015,
FUTSTK,ENGINERSIN,29-Oct-2015,0,XX,188.45,188.45,188.05,188.05,188.85,6,11.28,9000,6000,28-AUG-2015,
FUTSTK,ENGINERSIN,26-Nov-2015,0,XX,0,0,0,188.65,190,0,0,0,0,28-AUG-2015,
FUTSTK,EXIDEIND,24-Sep-2015,0,XX,158,159.35,152.55,154.75,154.75,1777,5566.79,6286000,220000,28-AUG-2015,
FUTSTK,EXIDEIND,29-Oct-2015,0,XX,158.7,158.7,153.5,155,155,6,18.74,30000,4000,28-AUG-2015,
FUTSTK,EXIDEIND,26-Nov-2015,0,XX,0,0,0,159.85,157.1,0,0,0,0,28-AUG-2015,
FUTSTK,FEDERALBNK,24-Sep-2015,0,XX,62.95,63.7,62.1,62.7,62.7,1136,2851.71,25484000,-80000,28-AUG-2015,
FUTSTK,FEDERALBNK,29-Oct-2015,0,XX,63.5,64,62.6,62.6,63.3,10,25.25,80000,24000,28-AUG-2015,
FUTSTK,FEDERALBNK,26-Nov-2015,0,XX,0,0,0,62.95,63.7,0,0,0,0,28-AUG-2015,
FUTSTK,GAIL,24-Sep-2015,0,XX,287.9,293.85,283.2,289.95,289.95,2614,7580.48,9702000,-71000,28-AUG-2015,
FUTSTK,GAIL,29-Oct-2015,0,XX,288,292,285.3,291,291,28,80.75,128000,2000,28-AUG-2015,
FUTSTK,GAIL,26-Nov-2015,0,XX,0,0,0,286.5,294.7,0,0,0,0,28-AUG-2015,
FUTSTK,GLENMARK,24-Sep-2015,0,XX,1198.2,1206.65,1157.5,1177.4,1177.4,8388,24683.81,1804500,574000,28-AUG-2015,
FUTSTK,GLENMARK,29-Oct-2015,0,XX,1185,1185,1182.35,1182.35,1182.35,7,20.69,1750,1250,28-AUG-2015,
FUTSTK,GLENMARK,26-Nov-2015,0,XX,0,0,0,1218,1197.6,0,0,0,0,28-AUG-2015,
FUTSTK,GMRINFRA,24-Sep-2015,0,XX,12.3,12.65,11.6,11.7,11.7,1510,2360.47,143832000,-2340000,28-AUG-2015,
FUTSTK,GMRINFRA,29-Oct-2015,0,XX,12.2,12.5,11.6,11.65,11.65,76,118.69,2483000,689000,28-AUG-2015,
